sample_id,genotype,block_number,replica_number,dev_stage,leaf_number,leaf_zone,dag,common_dev_stage,common_leaf_age,tissue_designation,developmental_stage_dap,dev_group,metabolite,intensity
D11B113B,B73,1,1,12,13,Base,57,V10+,young,B73_13_12,58,>9,acylcarnitine_12_1,29207
D11B113C,B73,1,1,12,13,Center,57,V10+,young,B73_13_12,58,>9,acylcarnitine_12_1,46214
D11B113T,B73,1,1,12,13,Tip,57,V10+,young,B73_13_12,58,>9,acylcarnitine_12_1,24453
D12C24A,CML312,2,2,11,4,Along,49,V10+,adult,CML312_4_11,50,>9,acylcarnitine_12_1,5513
D11B25C,B73,1,2,11,5,Center,57,V10+,adult,B73_5_11,58,>9,acylcarnitine_12_1,7704
D12C25A,CML312,2,2,11,5,Along,49,V10+,adult,CML312_5_11,50,>9,acylcarnitine_12_1,3182
D11B27B,B73,1,2,11,7,Base,57,V10+,adult,B73_7_11,58,>9,acylcarnitine_12_1,23578
D11C27B,CML312,1,2,11,7,Base,57,V10+,adult,CML312_7_11,58,>9,acylcarnitine_12_1,6075
D11B27C,B73,1,2,11,7,Center,57,V10+,adult,B73_7_11,58,>9,acylcarnitine_12_1,12817
D11C27C,CML312,1,2,11,7,Center,57,V10+,adult,CML312_7_11,58,>9,acylcarnitine_12_1,8181
D11B27T,B73,1,2,11,7,Tip,57,V10+,adult,B73_7_11,58,>9,acylcarnitine_12_1,12398
D11C27T,CML312,1,2,11,7,Tip,57,V10+,adult,CML312_7_11,58,>9,acylcarnitine_12_1,7124
D12C27A,CML312,2,2,11,7,Along,49,V10+,adult,CML312_7_11,50,>9,acylcarnitine_12_1,8224
D11B29B,B73,1,2,11,9,Base,57,V10+,adult,B73_9_11,58,>9,acylcarnitine_12_1,16375
D11C29B,CML312,1,2,11,9,Base,57,V10+,adult,CML312_9_11,58,>9,acylcarnitine_12_1,4155
D11B29C,B73,1,2,11,9,Center,57,V10+,adult,B73_9_11,58,>9,acylcarnitine_12_1,58428
D11C29C,CML312,1,2,11,9,Center,57,V10+,adult,CML312_9_11,58,>9,acylcarnitine_12_1,11458
D11B29T,B73,1,2,11,9,Tip,57,V10+,adult,B73_9_11,58,>9,acylcarnitine_12_1,15131
D11C29T,CML312,1,2,11,9,Tip,57,V10+,adult,CML312_9_11,58,>9,acylcarnitine_12_1,3399
D12C29A,CML312,2,2,11,9,Along,49,V10+,adult,CML312_9_11,50,>9,acylcarnitine_12_1,19586
D11B211B,B73,1,2,11,11,Base,57,V10+,young,B73_11_11,58,>9,acylcarnitine_12_1,20125
D11C211B,CML312,1,2,11,11,Base,57,V10+,young,CML312_11_11,58,>9,acylcarnitine_12_1,16979
D11B211C,B73,1,2,11,11,Center,57,V10+,young,B73_11_11,58,>9,acylcarnitine_12_1,11097
D11C211C,CML312,1,2,11,11,Center,57,V10+,young,CML312_11_11,58,>9,acylcarnitine_12_1,45941
D11B211T,B73,1,2,11,11,Tip,57,V10+,young,B73_11_11,58,>9,acylcarnitine_12_1,15839
D11C211T,CML312,1,2,11,11,Tip,57,V10+,young,CML312_11_11,58,>9,acylcarnitine_12_1,17209
