ID,GENOTYPE,acylcarnitine_15_3,BMP_37_7_15_1_22_6,CerNS_38_3_d18_2_20_1,CSH_posESI_004,CSH_posESI_027,CSH_posESI_041,CSH_posESI_288,CSH_posESI_296,DG_34_3_16_0_18_3,DG_34_4_16_1_18_3,DG_36_4,DG_36_4_18_2_18_2,DG_36_5_18_2_18_3,DG_36_6_18_3_18_3,DGDG_32_0_16_0_16_0,DGDG_32_1_16_0_16_1,DGDG_33_3_15_0_18_3,DGDG_34_1_16_0_18_1,DGDG_34_2_16_0_18_2,DGDG_34_4_16_1_18_3,DGDG_34_5_16_2_18_3,DGDG_35_3_17_0_18_3,DGDG_35_5_17_2_18_3,DGDG_35_6_17_2_18_4,DGDG_36_2_18_0_18_2,DGDG_36_4_18_1_18_3,DGDG_38_5_20_1_18_4,DGDG_38_6_18_3_20_3,GlcCerNS_34_3_d18_2_16_1,GlcCerNS_36_3_d18_2_18_1,GlcCerNS_38_3_d18_2_20_1,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3 ,MGDG_34_1_16_0_18_1,MGDG_34_2_16_0_18_2,MGDG_34_3_16_0_18_3,MGDG_34_4_16_1_18_3,MGDG_34_6_16_3_18_3,MGDG_35_3_17_0_18_3,MGDG_36_3_18_0_18_3,MGDG_36_3_18_1_18_2,MGDG_36_6_18_2_18_4,MGDG_36_6_18_3_18_3,MGDG_36_7_18_3_18_4,MGDG_38_5_20_2_18_3,MGDG_38_6_18_3_20_3,PC_16_0_9_0_CHO ,PC_32_1,PC_32_2,PC_33_2,PC_34_0 ,PC_34_1,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_36_1,PC_36_2 ,PC_36_3_A ,PC_36_3_B ,PC_36_4_A,PC_36_4_B ,PC_36_5_A ,PC_36_6_18_2_18_4,PC_36_6_18_3_18_3,PC_38_2,PC_38_3 ,PC_38_4_18_2_20_2,PC_38_5_A ,PE_32_0_16_0_16_0,PE_34_2,PE_36_3_18_0_18_3,PE_36_5_18_2_18_3,PE_36_6_18_3_18_3,PG_32_0_16_0_16_0,PG_32_1_16_0_16_1,PG_34_2_16_0_18_2,PG_34_4_16_0_18_4,PG_34_5_16_1_18_4,PG_36_7_18_3_18_4,plasmenylPC_35_2_P14_0_21_2,plasmenylPC_36_2_P14_0_22_2,SM_39_10_d17_3_22_7,SM_39_9_d16_3_23_6,SM_40_4_d16_2_24_2,SM_40_5_d16_1_24_4,SQDG_34_2_16_0_18_3,SQDG_34_3_16_1_18_3,SQDG_36_2_18_0_18_3,SQDG_36_4_18_2_18_3,SQDG_38_5_18_3_20_3,SQDG_42_1_16_0_16_0,SQDG_45_1_18_2_18_2,TG_49_2 ,TG_50_2,TG_50_3,TG_50_4 ,TG_50_5,TG_52_3 ,TG_52_4,TG_52_5 ,TG_52_6,TG_53_4 ,TG_53_5 ,TG_54_1 ,TG_54_2,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4,TG_54_4 ,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4
30,CML312,530753,27081,24533,16452,315000,67514,17957,16893,115128,6872,6106,63122,166479,93301,291543,6835,13063,68356,579532,39145,6238,76533,7029,24345,98255,143483,13976,89167,56537,117025,214981,107014,15117,117128,1916432,930392,20388,185075,1091120,37408,15050,42307,111290,19839,44174,227356,28926,20717,46215,35248,26634,34937,82043,10228,754338,4483859,55415,10977,110597,39437,685634,633915,781671,2752223,15297,4060922,83759,1532533,28310,33233,63824,9833,50499,618584,29053,171202,40613,145584,196476,358429,798508,15482,6279,16896,539320,27726,15139,25746,35301,2039139,15097,146239,557283,11396,1424869,81682,1644,183499,49955,4464,6938,5108,310553,553108,15405,2822,5601,13781,2156,67856,88126,725143,1736,18356,67856,4860,88126,725143,1736,18356
31,CML312,681485,25732,30399,11264,241962,40800,12563,14722,82941,14092,4409,31117,147050,26515,284315,10947,16515,132961,775310,42463,7736,100295,5370,24102,124697,184728,15353,95429,65976,111675,278983,84759,11797,72496,1172674,617907,27644,289653,936415,47937,24779,56795,79638,5418,42139,187598,29629,23290,52188,68065,42478,54804,99462,11147,945309,4792265,55571,13953,162185,51339,889175,805256,857995,3196305,17400,4633004,78112,1522978,37538,42366,79667,12829,33280,570034,21618,143188,27817,121499,153858,303140,840482,19428,4572,18376,658426,37724,15419,12274,21508,1861679,12814,129654,527897,11553,1333627,61370,2103,155524,49582,4187,6766,5001,306942,522083,10007,2192,5033,9808,1699,36287,28794,326696,1790,11348,36287,2531,28794,326696,1790,11348
32,CML312,238403,19172,22058,8119,314051,50070,19463,13427,131376,13206,3737,44265,155699,153273,270943,9045,8902,77148,640823,40448,3403,83789,6721,21368,112985,161664,16362,112673,54376,69965,201827,87414,15343,111440,1031640,509020,20370,200062,1399440,49577,22682,56687,187824,41678,45570,225479,14314,24460,72955,30641,28763,36912,72673,10730,756457,5714615,60943,12461,100609,54472,837560,474810,1413439,1702368,25433,4279892,83662,1983549,37657,24966,48271,13910,51169,369367,39771,174301,65575,120365,197752,273716,774654,12345,5544,13483,486267,34305,15638,23929,18729,2128633,11891,178041,598800,10668,1304229,71989,5111,174938,158575,3492,3047,9849,367272,706952,19994,6305,7939,11347,1733,66487,104544,605036,9352,12006,66487,6832,104544,605036,9352,12006
33,CML312,341463,4039,38550,326,262539,63006,6319,20806,78682,16617,10213,72082,155735,184743,191754,4496,4908,91357,721774,20881,5568,42619,1399,16699,103997,140213,2029,86332,95672,190815,279338,142323,37077,159722,1434560,818471,20104,120990,2117520,75606,15290,39138,70751,25093,21530,810375,36117,10870,45549,3439,30954,30930,55320,4348,414149,4270350,34470,4249,143694,30076,444131,514134,586776,3082368,19985,4157383,75278,1624113,30794,21868,55617,2194,61524,490095,39413,112645,24286,71722,98842,199644,535424,14749,8293,23731,624305,37247,17204,5279,13140,3145028,3924,192656,264507,17701,1395190,45604,7201,273924,97115,12525,25769,5806,491067,478051,9561,5040,5449,11422,2147,33284,186647,85198,10320,17256,33284,2986,186647,85198,10320,17256
34,CML312,460752,7286,33488,3896,263258,70842,10358,4924,65907,15714,3352,59687,154629,168319,239350,5474,9165,102132,935160,46185,9170,61004,10887,27032,95065,184924,8766,105265,74656,194429,305727,142421,14632,149799,1320765,940009,19329,194871,1461535,73561,25221,48600,79313,20314,39487,783363,50788,14761,86412,17584,33857,31182,45436,7696,488553,5501700,51366,5042,88913,9709,352177,423211,534759,2469309,23204,4384103,107995,949883,23621,26011,61666,25373,60631,319210,5868,88530,18533,34620,149324,190875,799262,11055,12544,6458,691582,41703,18051,7754,10764,3728626,12242,49469,290851,18248,635090,49343,6111,265516,93540,11828,24267,4344,551072,508078,13337,5735,5400,11694,1850,29468,191800,110366,6585,26120,29468,2649,191800,110366,6585,26120
35,CML312,241407,24433,45335,14107,352646,41206,30627,23353,92895,7237,6515,58428,118496,67343,285069,7354,11213,102674,773977,37534,3012,89823,5297,23013,126234,155997,14429,76825,86144,169478,399850,104107,19831,114256,1567378,742144,26153,241063,1012169,29004,23702,47856,120181,46278,39922,184732,25768,19977,43321,31851,36093,45031,82153,10733,936352,3925479,54287,11192,155613,58257,918890,840744,788058,3457812,15744,3981153,58466,1087535,30615,46140,78673,9511,48948,671463,20934,144301,22690,143933,204137,361252,904828,22206,6374,25796,915545,34059,13582,16826,24487,1969782,15768,138710,558299,9042,1375252,90202,6273,168687,22730,4791,8284,4357,265150,453641,3411,3483,5442,12057,2091,61608,84781,618774,1372,18530,61608,5040,84781,618774,1372,18530
40,PT,202906,20285,33158,9321,323350,52318,24034,17013,240101,55973,9928,107787,271910,484601,228284,6509,10904,87878,611354,125307,29754,200111,12210,76363,116669,308417,26486,296411,72507,76772,326041,70943,5459,112170,830852,401501,20361,238636,1571420,209036,156118,64645,211102,57271,115832,766430,221143,41217,146603,18645,25926,28736,68841,9478,662117,3053354,62508,12262,74321,29741,563132,441486,450129,1920191,5594,3052122,36060,950397,17878,40181,58488,38749,357439,428274,12271,105816,53210,202265,358486,395536,1453324,17991,32257,14429,786437,69833,20909,22470,29645,2992049,22660,268843,1079815,24567,834317,121299,8778,256724,156918,9851,17206,9894,545851,882295,20742,7609,11742,18486,2047,93111,133122,866278,7177,19688,93111,9279,133122,866278,7177,19688
41,PT,162616,26563,31273,6680,237000,35041,18974,11534,120274,28367,4236,66330,180206,236523,287423,3812,16185,120516,688589,76286,17237,178032,8760,51539,130429,278374,18675,206695,47793,96182,288059,84288,14013,97843,1112573,474483,22599,230321,2012163,17985,93036,61568,170814,37122,96591,405459,106453,32066,160040,26067,30834,35149,96435,2559,830551,3934231,91258,12464,51514,32256,638616,472270,546115,2251836,22724,4152463,43153,1127057,9394,35457,64653,30815,45438,593679,10558,153975,19570,153064,365750,276848,1951741,16643,38816,15403,683182,37383,15579,10709,9508,2337481,12892,165424,739873,19013,973504,82664,7876,225047,86268,3808,2864,7082,402573,639532,9237,5883,7100,12102,1548,64118,79245,517144,5627,10321,64118,5924,79245,517144,5627,10321
42,PT,150038,21770,25315,15819,256049,44763,20331,12418,166422,17351,8542,85849,192113,274679,118045,10515,13833,72464,464910,74817,15778,117096,8891,38195,102124,258147,20463,227377,47999,71444,232919,99527,9680,67123,528450,250227,16753,198553,1466624,116118,87552,49947,155047,45731,94573,580641,89577,32339,125054,18224,43611,51566,60574,7491,788398,4847335,61017,9279,74014,37632,659992,500295,682065,2452987,17889,4782147,61683,1462879,20007,37190,69582,27050,4414,604690,13943,187443,16144,180734,388566,306132,1755587,16304,26918,8982,546552,76678,16179,15810,19475,2142313,8039,200646,609535,17298,467521,83390,4765,201079,34800,11418,18160,5788,505955,898948,25896,6053,10599,14126,1554,73713,121983,808906,5344,13312,73713,7980,121983,808906,5344,13312
43,PT,171610,32439,23973,14582,250144,34362,18496,11731,132945,18176,10294,94964,157414,105455,181276,5808,6836,105295,554065,43691,3760,93869,7170,27456,97293,249349,22020,126489,38060,72302,214147,114203,10366,125890,1328397,1093889,26321,221644,1133084,58959,40092,45497,128432,45081,61507,595283,50389,31006,91956,33390,31631,39936,53571,7028,924703,4584751,56432,10304,91139,42412,691823,653481,621286,3297959,9360,4502144,76640,1209815,29778,36101,84555,16257,1927,364205,6504,81856,15478,150386,296480,343066,1396050,24779,20786,11584,524080,63055,17529,11824,26694,1878883,8518,144062,531275,10193,850769,83394,6221,209370,123669,11755,23251,3974,447255,660211,18975,6698,7295,13892,1622,70380,103560,628615,5229,18424,70380,7087,103560,628615,5229,18424
44,PT,151757,13183,19316,6318,322937,21304,8830,10037,212619,18302,9719,86189,290114,179425,208476,10465,15748,83514,468092,44677,10587,113212,8876,40314,78688,218987,15189,175101,44556,67446,186040,79027,5368,82076,515729,242742,6796,152166,1760221,110090,79597,55662,139625,31085,91578,242556,140179,24557,152044,20795,31976,37736,47881,2157,677302,5593919,67856,9715,78861,25266,541946,415834,699038,1942002,17976,4989039,62015,1786939,25753,27852,60540,26193,45984,784640,27489,277155,72343,134061,309644,236607,1631550,23633,31526,10647,454813,81216,16671,5023,14070,2254316,12421,124701,401279,15461,741453,62038,6068,144284,277623,4890,12876,3341,383828,881413,29324,5980,5028,1422,1599,52112,67222,395617,2268,14149,52112,3406,67222,395617,2268,14149
45,PT,171524,16927,27149,6291,244914,41804,21460,12137,176689,20204,17689,150010,274631,198046,286056,8512,16918,116196,498909,48373,16322,161681,10897,59414,95086,263498,18297,220511,52802,100483,255482,83805,5933,96935,1070878,447956,19060,172419,1929139,73361,95100,74533,191043,45568,101907,415736,127966,35814,190430,16703,34771,43917,59912,9457,892178,3248625,54460,12256,79885,38905,621842,579562,452038,2322639,23144,3670469,43182,833210,26497,44932,82637,37218,53239,774981,15197,178204,23016,138200,319870,279329,1953589,15337,57685,15031,618178,39657,2825,9322,11883,2313862,10637,159296,795782,18576,927756,83738,4887,243377,151696,10151,15034,8784,717223,1172436,25198,10106,11111,5352,1620,89076,145618,738358,6923,9301,89076,7015,145618,738358,6923,9301
46,PT,97646,22206,23533,9945,260337,40384,15240,11532,151536,20801,10377,93590,212639,141710,209125,11599,15416,100483,533733,44782,14482,120064,9665,47047,99182,230759,17872,203728,46837,70242,206559,76182,5387,61599,701347,336775,19492,225434,1636025,105709,79552,53064,188947,39638,87821,202504,93890,31451,167697,20130,57152,55948,81334,4108,932871,4484353,68284,7487,70582,41349,685109,557452,604480,2501568,22222,4594504,54204,1536399,26543,43750,96354,30321,48352,529521,12471,137615,23057,136247,355145,275294,1810436,16426,42515,12597,536931,45799,16627,10887,19176,2053275,11669,146788,527698,16880,766056,76992,1100,244718,166938,9306,12060,6625,518038,909141,23813,3217,8213,20908,1553,72514,112208,735294,7542,15421,72514,6087,112208,735294,7542,15421
47,PT,83946,20372,21593,12330,233019,28030,20513,9495,178566,25752,12740,104990,236591,111057,167626,11013,17197,118492,644433,46390,17026,139037,12478,37210,128129,225226,20069,160439,45377,72349,220562,76428,11529,75377,1022876,480884,22307,246723,1503754,28274,62795,63502,187649,47336,72746,161518,107720,31032,124120,22113,52077,43428,88248,3648,1089040,4015525,70677,13302,101877,49250,813626,786986,695749,2698525,21576,4761321,36671,1659624,25224,52225,86977,26977,37912,444007,10780,109792,17723,118530,320435,281195,1473335,19630,24440,13741,551088,88446,15365,13190,17096,2020180,11590,131991,717338,14056,645802,88707,3803,213708,123445,8243,10869,5881,413221,700888,15984,3625,7771,8778,1386,62057,93031,757117,3184,18594,62057,4657,93031,757117,3184,18594
